Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
00011-1;00011;0087784835;;Saillagouse;66800;;;;;2.0321126;42.4568855;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;42.4568855,2.0321126
00012-1;00012;0087784827;;Estavar;66800;;;;;2.0179071;42.4632434;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""EAA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Estavar"", ""Alias_Libelle_Fronton"": ""Estavar"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""ESTAVAR GARE""}";Estavar;Estavar;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;ESTAVAR GARE;1;EAA;42.4632434,2.0179071
00018-1;00018;0087784769;;Fontpédrouse;66360;;;;;2.1886585;42.5138062;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""FTB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Fontpédrouse"", ""Alias_Libelle_Fronton"": ""Fontpédrouse Saint-Thomas les Bains"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""FONTPEDROUSE ST THOMAS LES BAINS GARE""}";Fontpédrouse;Fontpédrouse Saint-Thomas les Bains;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;FONTPEDROUSE ST THOMAS LES BAINS GARE;1;FTB;42.5138062,2.1886585
00023-1;00023;0087784710;;Joncet;66193;;;;;2.3111464;42.5615245;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;42.5615245,2.3111464
00026-1;00026;0087784660;;Ria-Sirach;66500;;;;;2.3907488;42.6034078;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""RAJ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Ria-Sirach"", ""Alias_Libelle_Fronton"": ""Ria"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""RIA GARE""}";Ria-Sirach;Ria;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;RIA GARE;1;RAJ;42.6034078,2.3907488
00033-1;00033;0087784512;;Le Soler;66270;;;;;2.7930798;42.6787626;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;42.6787626,2.7930798
00041-1;00041;0087784009;;Perpignan;66027;;;;;2.879779;42.696292;a;2;GARE PERPIGNAN;;;;;;;;;;;;;;42.696292,2.879779
00043-1;00043;0087783670;;Belvezet;48170;;;;;3.7518919;44.5617971;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;44.5617971,3.7518919
00054-1;00054;0087783365;;Sévérac-d'Aveyron;12150;;;;;3.0569451;44.3246516;c;1;GARES C MIDI PYRENEES;"[{""TVS_Code"": ""SVC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Sévérac-d'Aveyron"", ""Alias_Libelle_Fronton"": ""Sévérac-le-Château"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""SEVERAC LE CHATEAU GARE""}";Sévérac-d'Aveyron;Sévérac-le-Château;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;SEVERAC LE CHATEAU GARE;1;SVC;44.3246516,3.0569451
00057-1;00057;0087783308;;Le Monastier-Pin-Moriès;48100;;;;;3.252057;44.5089682;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;44.5089682,3.252057
00063-1;00063;0087783001;;Millau;12100;;;;;3.074570;44.102344;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;44.102344,3.07457
00064-1;00064;0087782607;;Clermont La Pardieu;63000;;;;;3.134163;45.766947;b;1;GARES B AUVERGNE;"[{""TVS_Code"": ""COP""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Clermont La Pardieu"", ""Alias_Libelle_Fronton"": ""Clermont la Pardieu"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION AUVERGNE"", ""UG_Libelle"": ""UG Auvergne"", ""UT_Libelle"": ""LA PARDIEU HALTE""}";Clermont La Pardieu;Clermont la Pardieu;True;False;DRG AURA-BFC;REGION AUVERGNE;UG Auvergne;LA PARDIEU HALTE;1;COP;45.766947,3.134163
00077-1;00077;0087781104;;Narbonne;11100;;;;;3.005910;43.190387;a;2;GARE NARBONNE;;;;;;;;;;;;;;43.190387,3.00591
00085-1;00085;0087775825;;Le Cailar;30740;;;;;4.2354236;43.6834141;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;43.6834141,4.2354236
00095-1;00095;0087775494;2015-12-31;Bessèges;30160;;;;;4.1005901;44.2884691;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;44.2884691,4.1005901
00096-1;00096;0087775379;;Fons - Saint-Mamert;30730;;;;;4.2066687;43.9073195;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""FMS""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Fons - Saint-Mamert"", ""Alias_Libelle_Fronton"": ""Fons - Saint-Mamert"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""FONS ST MAMERT GARE""}";Fons - Saint-Mamert;Fons - Saint-Mamert;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;FONS ST MAMERT GARE;1;FMS;43.9073195,4.2066687
